"SWSN_ID","SWSN_Site","EASTING","NORTHING"
2474,"Rocky Point Site",652402.966247022,3891448.72076511
2493,"Rabid Ruin",495580.349810109,3574542.8347047
2494,"San Xavier Bridge",499450.105032116,3562899.80130357
2495,"Continental Site",510212.172697142,3531431.78515399
2496,"Cerro Prieto--Santa Cruz",464016.604275852,3605284.87357573
2497,"Daley site",621609.993688792,3623887.37136964
2498,"Gecko Site",461877.711959392,3617847.1219466
2499,"El Polvoron",443182.52907449,3680501.50419725
2500,"Midvale Site",428456.328299165,3678071.05635285
2501,"Los Rectangulos",438976.916105092,3628754.97113673
2502,"El Viento",438000.520118669,3604594.54273829
2503,"Waste Dump",444087.739125952,3616819.73861748
2512,"Tsintaa Yitilii",612301.742434397,3971203.77249861
2513,"Bear Springs S",610512.652846798,3942632.64488924
2575,"Round Rock GH",650254.265671864,4029503.38501281
2608,"Stone House Flat No.1",418209.988720253,3843757.13331455
2616,"Jack's Canyon Fort",496460.952649176,3834046.14829123
2718,"Walavudu",408334.810156643,3922928.73530723
2729,"Omawovi",539325.577577099,3966378.49342002
2730,"Paaqapa",543281.23966901,3985418.48743248
2731,"Pivanhonkyapi",537418.738215685,3983051.70147085
2732,"Qaotaqtipu",532132.624572575,3982568.70144002
2734,"Boquillas",569114.36376071,3514218.23079206
2735,"Green Cattle Company Site 2",547916.482675344,3477709.31492235
2736,"LA 76368",731334.445847377,3777677.32199833
2737,"ENM 5048",754767.602827549,4072504.59438995
2738,"ENM 5071-5072",755870.893240452,4103210.30815004
2739,"ENM 5091",737577.534144923,4066142.42320852
2741,"ENM 5143",743108.598933473,4076696.66783828
2742,"ENM 7339",743158.33608593,4071962.48882583
2743,"ENM 7345",758459.290226355,4088658.87257947
2744,"ENM 7382",745606.15468885,4090973.02130973
2745,"ENM 7384",758683.468084216,4074989.65342028
2746,"Head Canyon",742455.910592273,4068302.66611634
2747,"Hilltop",766252.234945461,4074687.30603857
2748,"Jackson Lake",736474.10751763,4083648.45487146
